Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Tampa Bay Buccaneers,9,202,700,6,3.5,77.8,47.57
2,New York Jets,9,245,737,10,3.0,81.9,56.17
3,Houston Texans,9,183,758,3,4.1,84.2,20.44
4,Philadelphia Eagles,9,206,786,9,3.8,87.3,18.87
5,Los Angeles Rams,9,245,817,7,3.3,90.8,42.60
6,New Orleans Saints,9,197,817,7,4.1,90.8,26.13
7,Baltimore Ravens,9,193,821,9,4.3,91.2,3.95
8,Chicago Bears,9,231,846,8,3.7,94.0,23.59
9,Oakland Raiders,9,228,886,6,3.9,98.4,10.49
10,New England Patriots,9,189,892,5,4.7,99.1,22.99
11,Minnesota Vikings,10,221,912,2,4.1,91.2,30.85
12,Dallas Cowboys,9,220,931,8,4.2,103.4,14.22
13,Indianapolis Colts,9,214,939,6,4.4,104.3,7.58
14,Pittsburgh Steelers,9,246,948,4,3.9,105.3,38.04
15,Denver Broncos,9,242,968,6,4.0,107.6,20.53
16,San Francisco 49ers,9,209,970,4,4.6,107.8,17.64
17,Atlanta Falcons,9,260,999,9,3.8,111.0,12.03
18,Seattle Seahawks,10,223,1011,12,4.5,101.1,5.79
19,Tennessee Titans,10,257,1025,5,4.0,102.5,46.86
20,Buffalo Bills,9,230,1040,9,4.5,115.6,-1.43
21,Jacksonville Jaguars,9,219,1082,8,4.9,120.2,-3.43
22,Los Angeles Chargers,10,265,1105,7,4.2,110.5,4.11
23,Detroit Lions,9,253,1167,9,4.6,129.7,-5.20
24,Cleveland Browns,9,250,1214,8,4.9,134.9,-9.02
25,Washington Redskins,9,290,1224,8,4.2,136.0,19.57
26,New York Giants,10,303,1227,12,4.0,122.7,20.05
27,Carolina Panthers,9,238,1230,17,5.2,136.7,-33.58
28,Arizona Cardinals,10,279,1260,6,4.5,126.0,-2.98
29,Green Bay Packers,10,266,1269,11,4.8,126.9,-18.74
30,Miami Dolphins,9,283,1315,8,4.6,146.1,-3.58
31,Kansas City Chiefs,10,288,1481,12,5.1,148.1,-30.23
32,Cincinnati Bengals,9,302,1557,12,5.2,173.0,-15.95
,Avg Team,,239.9,1029.2,7.9,4.3,111.3,12.1
,League Total,,7677,32934,253,4.3,111.3,
,Avg Tm/G,,25.9,111.3,0.9,4.3,111.3,
