Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Baltimore Ravens,9,322,1775,15,60,5.5,197.2,10,54.60
2,Minnesota Vikings,10,326,1530,13,75,4.7,153.0,19,8.27
3,San Francisco 49ers,9,330,1456,13,83,4.4,161.8,10,-19.33
4,Seattle Seahawks,10,307,1332,9,59,4.3,133.2,18,-32.34
5,Houston Texans,9,259,1285,10,58,5.0,142.8,13,16.73
6,Dallas Cowboys,9,261,1244,11,42,4.8,138.2,6,17.87
7,Cleveland Browns,10,248,1219,10,88,4.9,121.9,9,-19.60
8,Carolina Panthers,9,232,1183,14,84,5.1,131.4,15,-4.18
9,Oakland Raiders,9,249,1169,9,60,4.7,129.9,11,-4.35
10,Jacksonville Jaguars,9,243,1167,1,81,4.8,129.7,15,-26.97
11,Arizona Cardinals,10,236,1160,9,37,4.9,116.0,3,19.00
12,Indianapolis Colts,9,274,1147,4,63,4.2,127.4,12,-2.60
13,Philadelphia Eagles,9,270,1146,10,65,4.2,127.3,15,-13.35
14,Tennessee Titans,10,257,1132,9,68,4.4,113.2,16,-10.89
15,Buffalo Bills,9,246,1119,10,41,4.5,124.3,13,-1.24
16,Green Bay Packers,10,243,1021,13,45,4.2,102.1,6,-4.47
17,Denver Broncos,9,232,1007,7,40,4.3,111.9,14,-3.24
18,New Orleans Saints,9,223,966,5,31,4.3,107.3,5,-12.11
19,New York Giants,10,214,942,6,59,4.4,94.2,23,-9.77
20,Tampa Bay Buccaneers,9,237,912,10,26,3.8,101.3,15,-6.43
21,Kansas City Chiefs,10,213,908,7,91,4.3,90.8,17,-10.42
22,Detroit Lions,9,235,866,2,44,3.7,96.2,8,-33.68
23,Los Angeles Rams,9,222,866,11,27,3.9,96.2,11,-20.80
24,Los Angeles Chargers,10,228,861,7,40,3.8,86.1,10,-26.31
25,New England Patriots,9,253,836,13,26,3.3,92.9,7,-39.00
26,Pittsburgh Steelers,10,228,807,5,45,3.5,80.7,17,-45.66
27,Washington Redskins,9,186,805,2,65,4.3,89.4,11,-30.26
28,Chicago Bears,9,205,725,5,55,3.5,80.6,5,-31.50
29,Atlanta Falcons,9,182,691,3,28,3.8,76.8,11,-15.17
30,Cincinnati Bengals,9,190,633,3,25,3.3,70.3,14,-22.06
31,New York Jets,9,188,606,4,24,3.2,67.3,10,-27.80
32,Miami Dolphins,9,189,580,4,19,3.1,64.4,16,-39.97
,Avg Team,,241.5,1034.3,7.9,52,4.3,111.1,12.0,-12.4
,League Total,,7728,33096,254,91,4.3,111.1,385,
,Avg Tm/G,,25.9,111.1,0.9,,4.3,111.1,1.3,
